@relation bloodseeker

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1, 0}

@data
14,9,8,383,485,0
14,9,8,383,485,0
9,20,15,349,377,0
9,20,15,349,377,0
13,5,23,478,536,1
13,5,23,478,536,1
4,6,3,281,283,0
4,6,3,281,283,0
14,10,18,424,590,0
14,10,18,424,590,0
6,8,6,397,395,1
6,8,6,397,395,1
21,1,6,653,647,1
21,1,6,653,647,1
7,5,6,431,528,0
7,5,6,431,528,0
6,18,3,311,283,0
6,18,3,311,283,0
26,8,6,614,746,0
26,8,6,614,746,0
12,2,5,499,563,1
12,2,5,499,563,1
36,4,13,744,710,1
36,4,13,744,710,1
12,8,13,527,617,1
12,8,13,527,617,1
9,14,10,326,354,0
9,14,10,326,354,0
19,5,11,577,661,1
19,5,11,577,661,1
12,12,9,395,501,0
12,12,9,395,501,0
29,2,12,796,968,1
29,2,12,796,968,1
17,4,13,627,649,1
17,4,13,627,649,1
14,11,11,543,573,0
14,11,11,543,573,0
19,16,13,489,569,0
19,16,13,489,569,0
13,9,5,387,426,0
13,9,5,387,426,0
12,11,6,504,569,0
12,11,6,504,569,0
11,9,17,457,482,1
11,9,17,457,482,1
17,11,4,519,495,0
17,11,4,519,495,0
24,11,13,463,592,0
24,11,13,463,592,0
18,9,4,531,647,0
18,9,4,531,647,0
19,4,7,668,728,1
19,4,7,668,728,1
9,14,7,453,495,0
9,14,7,453,495,0
27,11,19,593,658,1
27,11,19,593,658,1
22,10,16,487,629,1
22,10,16,487,629,1
22,6,11,591,634,1
22,6,11,591,634,1
5,13,28,418,483,1
5,13,28,418,483,1
9,5,12,509,543,1
9,5,12,509,543,1
23,12,9,576,590,0
23,12,9,576,590,0
16,5,11,626,629,1
16,5,11,626,629,1
12,2,5,510,685,1
12,2,5,510,685,1
12,13,16,372,498,0
12,13,16,372,498,0
12,16,16,430,584,0
12,16,16,430,584,0
7,7,3,314,320,0
7,7,3,314,320,0
9,4,9,398,401,1
9,4,9,398,401,1
4,13,6,293,386,0
4,13,6,293,386,0
8,10,7,414,545,0
8,10,7,414,545,0
9,10,16,590,607,1
9,10,16,590,607,1
11,13,12,383,447,1
11,13,12,383,447,1
9,2,5,567,525,1
9,2,5,567,525,1
16,10,13,468,559,0
16,10,13,468,559,0
16,5,15,490,607,0
16,5,15,490,607,0
25,17,9,567,526,1
25,17,9,567,526,1
34,5,16,727,862,1
34,5,16,727,862,1
9,12,8,467,544,0
9,12,8,467,544,0
15,3,17,576,685,1
15,3,17,576,685,1
9,4,10,533,593,1
9,4,10,533,593,1
13,5,13,417,427,1
13,5,13,417,427,1
15,8,10,356,344,0
15,8,10,356,344,0
2,8,11,343,377,0
2,8,11,343,377,0
18,16,4,528,708,0
18,16,4,528,708,0
16,10,17,427,528,1
16,10,17,427,528,1
18,13,5,428,468,0
18,13,5,428,468,0
11,14,10,458,459,1
11,14,10,458,459,1
7,16,10,388,489,0
7,16,10,388,489,0
18,7,8,482,629,1
18,7,8,482,629,1
12,10,30,481,561,1
12,10,30,481,561,1
16,12,10,420,528,1
16,12,10,420,528,1
11,13,19,399,511,1
11,13,19,399,511,1
5,17,8,443,446,0
5,17,8,443,446,0
6,6,6,421,439,1
6,6,6,421,439,1
7,6,14,462,576,1
7,6,14,462,576,1
1,5,9,313,270,1
1,5,9,313,270,1
15,12,8,464,650,0
15,12,8,464,650,0
9,11,8,335,382,0
9,11,8,335,382,0
13,16,12,468,532,0
13,16,12,468,532,0
13,2,10,441,524,0
13,2,10,441,524,0
11,20,11,491,519,1
11,20,11,491,519,1
18,11,8,441,402,1
18,11,8,441,402,1
16,10,8,651,541,1
16,10,8,651,541,1
10,12,9,408,458,0
10,12,9,408,458,0
26,11,22,636,701,1
26,11,22,636,701,1
21,8,18,660,772,1
21,8,18,660,772,1
9,12,5,396,539,0
9,12,5,396,539,0
10,10,4,393,418,0
10,10,4,393,418,0
10,17,18,409,514,0
10,17,18,409,514,0
5,13,5,283,317,0
5,13,5,283,317,0
23,1,15,587,734,1
23,1,15,587,734,1
8,7,6,309,386,0
8,7,6,309,386,0
15,4,16,504,580,1
15,4,16,504,580,1
16,5,11,517,567,1
16,5,11,517,567,1
0,12,3,253,187,0
0,12,3,253,187,0
4,4,6,302,242,1
4,4,6,302,242,1
6,9,15,331,429,0
6,9,15,331,429,0
0,3,5,160,115,0
0,3,5,160,115,0
20,3,13,794,867,1
20,3,13,794,867,1
10,15,7,320,329,0
10,15,7,320,329,0
16,6,14,596,667,1
16,6,14,596,667,1
31,6,8,791,886,1
31,6,8,791,886,1
4,7,7,261,204,0
4,7,7,261,204,0
8,8,8,332,365,0
8,8,8,332,365,0
6,10,1,414,407,0
6,10,1,414,407,0
7,9,8,472,588,0
7,9,8,472,588,0
30,3,19,779,804,1
30,3,19,779,804,1
1,12,3,197,186,0
1,12,3,197,186,0
4,14,2,268,273,0
4,14,2,268,273,0
7,11,7,319,387,0
7,11,7,319,387,0
8,11,6,329,390,0
8,11,6,329,390,0
18,15,12,469,518,1
18,15,12,469,518,1
3,12,8,204,231,0
3,12,8,204,231,0
13,13,6,367,399,0
13,13,6,367,399,0
12,10,8,491,632,0
12,10,8,491,632,0
6,12,5,352,274,0
6,12,5,352,274,0
11,5,2,385,511,0
11,5,2,385,511,0
10,11,13,397,453,1
10,11,13,397,453,1
12,8,16,468,597,1
12,8,16,468,597,1
3,12,8,243,222,0
3,12,8,243,222,0
12,13,6,484,606,0
12,13,6,484,606,0
19,10,12,627,646,1
19,10,12,627,646,1
16,9,10,435,510,0
16,9,10,435,510,0
13,14,5,470,577,0
13,14,5,470,577,0
11,11,11,408,454,1
11,11,11,408,454,1
7,21,6,271,300,0
7,21,6,271,300,0
21,6,9,617,757,1
21,6,9,617,757,1
14,9,6,391,502,0
14,9,6,391,502,0
5,13,4,381,481,0
5,13,4,381,481,0
6,6,7,549,510,1
6,6,7,549,510,1
10,3,7,578,574,1
10,3,7,578,574,1
15,3,18,487,455,1
15,3,18,487,455,1
25,11,4,599,683,1
25,11,4,599,683,1
11,7,7,574,723,1
11,7,7,574,723,1
20,12,12,502,581,1
20,12,12,502,581,1
9,8,5,435,516,1
9,8,5,435,516,1
11,7,3,506,482,1
