@relation windrunner

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1,0}

@data
9,4,6,534,656,1
9,4,6,534,656,1
0,15,5,239,300,0
0,15,5,239,300,0
7,3,6,502,491,1
7,3,6,502,491,1
9,11,14,350,495,0
9,11,14,350,495,0
1,11,7,274,397,1
1,11,7,274,397,1
7,2,10,409,414,1
7,2,10,409,414,1
10,7,16,445,565,1
10,7,16,445,565,1
10,9,4,372,452,1
10,9,4,372,452,1
3,10,6,312,365,0
3,10,6,312,365,0
35,3,7,842,790,1
35,3,7,842,790,1
31,7,16,691,455,1
31,7,16,691,455,1
4,8,1,254,264,0
4,8,1,254,264,0
6,9,13,354,427,1
6,9,13,354,427,1
18,7,12,533,574,1
18,7,12,533,574,1
12,9,4,376,473,0
12,9,4,376,473,0
3,5,3,278,296,0
3,5,3,278,296,0
6,7,10,400,356,1
6,7,10,400,356,1
3,4,6,393,361,1
3,4,6,393,361,1
18,5,8,474,598,1
18,5,8,474,598,1
3,1,8,368,331,1
3,1,8,368,331,1
21,3,16,611,704,1
21,3,16,611,704,1
15,6,20,484,560,1
15,6,20,484,560,1
12,5,16,414,604,0
12,5,16,414,604,0
15,13,15,439,571,0
15,13,15,439,571,0
8,4,4,507,613,1
8,4,4,507,613,1
7,8,12,447,539,1
7,8,12,447,539,1
6,4,13,457,469,1
6,4,13,457,469,1
8,11,4,326,397,0
8,11,4,326,397,0
9,7,10,408,567,0
9,7,10,408,567,0
11,7,5,509,549,1
11,7,5,509,549,1
12,3,19,540,544,1
12,3,19,540,544,1
9,1,16,451,499,1
9,1,16,451,499,1
1,6,1,202,192,0
1,6,1,202,192,0
2,9,8,248,318,0
2,9,8,248,318,0
8,10,14,342,425,1
8,10,14,342,425,1
10,0,12,498,617,1
10,0,12,498,617,1
16,5,13,493,634,1
16,5,13,493,634,1
14,11,16,408,534,0
14,11,16,408,534,0
6,9,15,279,352,0
6,9,15,279,352,0
6,11,9,347,399,0
6,11,9,347,399,0
4,9,23,318,500,0
4,9,23,318,500,0
6,7,13,473,555,1
6,7,13,473,555,1
21,7,11,643,573,0
21,7,11,643,573,0
9,10,10,402,560,0
9,10,10,402,560,0
7,13,15,434,520,0
7,13,15,434,520,0
3,10,1,284,344,0
3,10,1,284,344,0
5,10,15,427,527,1
5,10,15,427,527,1
7,8,13,372,365,1
7,8,13,372,365,1
14,16,12,466,555,0
14,16,12,466,555,0
9,14,11,390,487,0
9,14,11,390,487,0
9,0,9,488,423,1
9,0,9,488,423,1
15,5,17,425,535,1
15,5,17,425,535,1
7,8,8,270,335,0
7,8,8,270,335,0
16,12,25,453,628,1
16,12,25,453,628,1
11,9,6,384,401,0
11,9,6,384,401,0
3,13,0,228,246,0
3,13,0,228,246,0
9,12,6,361,427,0
9,12,6,361,427,0
9,10,11,397,505,1
9,10,11,397,505,1
12,1,10,528,347,1
12,1,10,528,347,1
20,12,27,450,480,1
20,12,27,450,480,1
11,8,3,428,467,0
11,8,3,428,467,0
11,6,9,325,419,0
11,6,9,325,419,0
13,10,6,451,544,1
13,10,6,451,544,1
7,9,8,314,403,0
7,9,8,314,403,0
6,9,16,372,507,0
6,9,16,372,507,0
7,8,15,411,465,1
7,8,15,411,465,1
7,3,5,409,493,1
7,3,5,409,493,1
9,2,13,447,470,1
9,2,13,447,470,1
13,13,20,438,608,0
13,13,20,438,608,0
6,9,19,392,550,0
6,9,19,392,550,0
3,6,14,312,407,0
3,6,14,312,407,0
8,6,14,418,462,1
8,6,14,418,462,1
3,10,6,245,252,0
3,10,6,245,252,0
9,6,21,464,557,1
9,6,21,464,557,1
17,5,7,508,553,1
17,5,7,508,553,1
4,5,3,287,247,0
4,5,3,287,247,0
7,16,16,371,452,1
7,16,16,371,452,1
12,12,24,465,500,1
12,12,24,465,500,1
3,13,12,287,343,0
3,13,12,287,343,0
4,10,7,314,324,1
4,10,7,314,324,1
15,4,15,512,570,1
