@relation 'crystal maiden'

@attribute k numeric
@attribute d numeric
@attribute a numeric
@attribute gpm numeric
@attribute xpm numeric
@attribute win {1,0}

@data
8,8,18,361,468,1
3,15,20,297,413,0
3,15,20,297,413,0
2,26,13,252,301,0
2,26,13,252,301,0
8,15,17,330,384,0
8,15,17,330,384,0
12,9,19,406,484,1
12,9,19,406,484,1
2,11,7,254,247,0
2,11,7,254,247,0
14,6,31,472,624,1
14,6,31,472,624,1
7,14,14,339,403,1
7,14,14,339,403,1
0,22,5,152,210,0
0,22,5,152,210,0
6,7,22,308,438,0
6,7,22,308,438,0
8,8,11,394,417,1
8,8,11,394,417,1
13,6,27,442,549,1
13,6,27,442,549,1
9,20,21,306,429,1
9,20,21,306,429,1
1,5,2,191,221,0
1,5,2,191,221,0
4,7,12,262,266,1
4,7,12,262,266,1
1,6,9,257,302,0
1,6,9,257,302,0
9,9,20,352,448,1
9,9,20,352,448,1
4,9,12,236,311,0
4,9,12,236,311,0
4,8,11,289,282,0
4,8,11,289,282,0
1,11,9,227,222,0
1,11,9,227,222,0
6,6,20,369,400,1
6,6,20,369,400,1
7,7,13,308,411,0
7,7,13,308,411,0
11,7,21,462,667,1
11,7,21,462,667,1
7,1,10,536,467,1
7,1,10,536,467,1
4,11,5,288,266,0
4,11,5,288,266,0
3,7,20,341,457,1
3,7,20,341,457,1
6,14,11,265,295,0
6,14,11,265,295,0
1,6,20,328,368,1
1,6,20,328,368,1
4,14,20,279,384,0
4,14,20,279,384,0
3,13,6,276,326,0
3,13,6,276,326,0
1,17,2,215,231,0
1,17,2,215,231,0
5,4,18,372,447,1
5,4,18,372,447,1
17,3,24,529,596,1
17,3,24,529,596,1
5,11,14,295,360,0
5,11,14,295,360,0
11,10,22,418,512,1
11,10,22,418,512,1
5,4,21,370,422,1
5,4,21,370,422,1
5,5,14,350,381,1
5,5,14,350,381,1
6,10,17,332,374,1
6,10,17,332,374,1
3,21,16,240,219,1
3,21,16,240,219,1
2,4,17,296,468,1
2,4,17,296,468,1
4,4,18,390,341,1
4,4,18,390,341,1
8,3,9,333,295,1
8,3,9,333,295,1
3,8,3,272,408,0
3,8,3,272,408,0
4,15,11,407,458,0
4,15,11,407,458,0
0,11,14,215,266,0
0,11,14,215,266,0
2,6,10,237,280,0
2,6,10,237,280,0
12,8,12,446,600,1
12,8,12,446,600,1
6,13,26,331,534,1
6,13,26,331,534,1
8,3,16,407,458,1
8,3,16,407,458,1
1,9,3,173,195,0
1,9,3,173,195,0
2,8,2,148,103,0
2,8,2,148,103,0
2,13,11,300,297,1
2,13,11,300,297,1
5,4,18,366,359,1
5,4,18,366,359,1
4,11,13,282,320,0
4,11,13,282,320,0
4,9,8,242,303,0
4,9,8,242,303,0
9,6,14,386,498,1
9,6,14,386,498,1
9,5,8,288,300,1
9,5,8,288,300,1
2,10,10,279,305,0
2,10,10,279,305,0
11,16,14,309,394,0
11,16,14,309,394,0
3,14,6,181,151,0
3,14,6,181,151,0
1,14,12,224,310,0
1,14,12,224,310,0
14,11,26,393,527,1
14,11,26,393,527,1
2,4,14,292,270,1
2,4,14,292,270,1
6,3,6,341,378,1
6,3,6,341,378,1
10,14,10,338,451,0
10,14,10,338,451,0
6,6,9,381,324,1
6,6,9,381,324,1
5,8,10,300,327,0
5,8,10,300,327,0
6,14,18,356,389,1
6,14,18,356,389,1
3,13,22,279,372,0
3,13,22,279,372,0
10,14,16,347,429,0
10,14,16,347,429,0
3,2,21,392,397,1
3,2,21,392,397,1
20,12,22,490,476,1
20,12,22,490,476,1
12,9,26,420,631,1
12,9,26,420,631,1
5,7,25,370,432,1
5,7,25,370,432,1
0,15,19,234,342,1
0,15,19,234,342,1
3,8,11,331,346,0
3,8,11,331,346,0
6,5,13,347,443,1
6,5,13,347,443,1
2,14,17,244,322,0
2,14,17,244,322,0
7,13,7,350,497,0
7,13,7,350,497,0
8,12,21,347,439,1
8,12,21,347,439,1
6,8,11,351,402,1
6,8,11,351,402,1
8,11,17,314,434,1
8,11,17,314,434,1
5,8,28,405,568,1
5,8,28,405,568,1
5,17,18,354,448,1
5,17,18,354,448,1
4,8,15,255,320,1
4,8,15,255,320,1
5,10,21,334,541,1
5,10,21,334,541,1
7,15,12,312,483,1
7,15,12,312,483,1
3,6,3,301,361,0
3,6,3,301,361,0
3,8,17,321,449,1
3,8,17,321,449,1
5,7,20,274,280,1
5,7,20,274,280,1
11,14,19,329,432,0
11,14,19,329,432,0
14,8,21,348,472,1
14,8,21,348,472,1
0,11,2,169,208,0
0,11,2,169,208,0
5,11,19,281,335,1
5,11,19,281,335,1
8,8,15,288,357,0
8,8,15,288,357,0
5,5,9,353,434,1
5,5,9,353,434,1
10,5,31,421,569,1
10,5,31,421,569,1
5,0,7,396,468,1
5,0,7,396,468,1
7,3,15,443,428,1
7,3,15,443,428,1
4,7,14,322,303,1
4,7,14,322,303,1
8,7,14,315,419,1
8,7,14,315,419,1
4,6,11,383,442,1
4,6,11,383,442,1
1,14,12,196,175,0
1,14,12,196,175,0
6,15,21,309,382,1
6,15,21,309,382,1
12,20,18,398,485,0
12,20,18,398,485,0
0,7,5,199,266,0
0,7,5,199,266,0
9,9,24,340,399,1
9,9,24,340,399,1
5,16,24,339,470,0
5,16,24,339,470,0
6,9,22,348,551,0
6,9,22,348,551,0
0,8,6,260,160,1
0,8,6,260,160,1
6,5,16,396,335,1
6,5,16,396,335,1
11,2,15,434,377,1
11,2,15,434,377,1
7,14,25,358,471,1
7,14,25,358,471,1
7,16,8,409,365,0
7,16,8,409,365,0
2,12,10,203,268,0
2,12,10,203,268,0
6,6,21,418,495,1
6,6,21,418,495,1
1,13,5,243,250,1
1,13,5,243,250,1
1,12,10,232,326,0
1,12,10,232,326,0
2,19,17,280,369,1
2,19,17,280,369,1
2,2,7,332,326,1
2,2,7,332,326,1
6,5,13,406,373,1
6,5,13,406,373,1
2,5,17,321,329,1
2,5,17,321,329,1
15,12,17,455,494,1
15,12,17,455,494,1
19,16,15,386,520,0
19,16,15,386,520,0
11,11,18,364,440,0
11,11,18,364,440,0
6,4,23,372,528,1
6,4,23,372,528,1
3,10,18,331,364,1
3,10,18,331,364,1
4,13,9,352,494,0
4,13,9,352,494,0
15,14,17,358,478,0
15,14,17,358,478,0
10,3,21,495,542,1
10,3,21,495,542,1
10,7,17,423,559,1
10,7,17,423,559,1
1,7,3,164,206,0
1,7,3,164,206,0
7,12,20,337,504,1
7,12,20,337,504,1
3,9,11,336,475,1
3,9,11,336,475,1
6,7,16,422,512,1
6,7,16,422,512,1
9,10,25,355,454,1
9,10,25,355,454,1
2,14,5,199,185,0
2,14,5,199,185,0
15,5,15,540,571,1
15,5,15,540,571,1
10,8,25,449,529,1
10,8,25,449,529,1
2,15,14,257,250,0
2,15,14,257,250,0
5,11,19,311,459,0
5,11,19,311,459,0
12,11,20,435,557,1
12,11,20,435,557,1
2,5,10,337,265,1
2,5,10,337,265,1
10,9,14,355,418,1
10,9,14,355,418,1
4,10,15,268,241,1
4,10,15,268,241,1
6,11,14,296,397,0
6,11,14,296,397,0
12,9,23,473,609,1
12,9,23,473,609,1
1,12,13,252,265,0
1,12,13,252,265,0
5,3,13,349,358,1
5,3,13,349,358,1
2,8,22,298,363,1
2,8,22,298,363,1
3,16,12,208,166,0
3,16,12,208,166,0
3,12,7,267,332,0
3,12,7,267,332,0
12,6,19,382,486,1
12,6,19,382,486,1
